Wall time,Step,Value
1457509707.642908,100,0.7052549719810486
1457509708.832384,200,0.720924973487854
1457509710.004675,300,0.7299200296401978
1457509711.149387,400,0.7566099762916565
1457509712.307938,500,0.7710049748420715
1457509713.481927,600,0.7739099860191345
1457509714.652672,700,0.7760149836540222
1457509715.812163,800,0.7776849865913391
1457509716.96704,900,0.7886250019073486
1457509718.131893,1000,0.7951850295066833
1457509719.300461,1100,0.8090999722480774
1457509720.474611,1200,0.8139899969100952
1457509721.660458,1300,0.81809002161026
1457509722.845903,1400,0.8188850283622742
1457509724.01264,1500,0.8211650252342224
1457509725.209673,1600,0.8223599791526794
1457509726.371221,1700,0.8240050077438354
1457509727.540995,1800,0.8334050178527832
1457509728.758994,1900,0.8295450210571289
1457509730.037814,2000,0.834434986114502
1457509731.248427,2100,0.8306049704551697
1457509732.435097,2200,0.8404899835586548
1457509733.630086,2300,0.84027498960495
1457509734.874469,2400,0.8445299863815308
1457509736.055621,2500,0.8450049757957458
1457509737.234086,2600,0.8371599912643433
1457509738.412556,2700,0.8500350117683411
1457509739.589896,2800,0.8512250185012817
1457509740.789818,2900,0.8543699979782104
1457509742.005283,3000,0.8524249792098999
1457509743.208055,3100,0.8571599721908569
1457509744.411124,3200,0.8563799858093262
1457509745.630424,3300,0.8539199829101562
1457509746.823295,3400,0.8625450134277344
1457509748.029166,3500,0.8629149794578552
1457509749.217569,3600,0.8623499870300293
1457509750.452948,3700,0.8621299862861633
1457509751.646005,3800,0.8655700087547302
1457509752.828005,3900,0.8684599995613098
1457509753.989279,4000,0.8686149716377258
1457509755.211924,4100,0.8653600215911865
1457509756.493483,4200,0.8695849776268005
1457509757.692036,4300,0.8691849708557129
1457509758.87563,4400,0.8686100244522095
1457509760.080897,4500,0.8684449791908264
1457509761.274376,4600,0.8689200282096863
1457509762.430223,4700,0.8723700046539307
1457509763.650322,4800,0.8712999820709229
1457509764.821113,4900,0.8693000078201294
1457509765.994582,5000,0.8729400038719177
