COUPON_ID_hash,COUPON_ID_hash_NEW
020ecbac287705157b8f47cd1ba4023d,2.0
be28b05efbb8e81cf50373fe351ff0bf,3.0
348fea499abb49c0302d9a96253ba82f,20.0
037f214147dab55924b39ec49cde5419,7.0
b649c635dbf6df6b0c18d1bc8f2126b9,9.0
430ee4e678482cff5afc5e52f2c47f69,10.0
94220eedc9e6e66837a368e12de49737,11.0
e139d60de87329baa2f4345459c706d2,13149.0
e4cb213382c367a2eac712121ee9dfb3,64.0
87482fa4730bcf6e04e816effc1227d1,12061.0
ea4ce442ca3a0c58a6aae78c1009f9c0,15841.0
acdd79d82f843adef9c644e9f525e459,16.0
b200564b925999af8b6b9cc9615d5861,13150.0
89ab84dd9489828665bf06c2b784e83f,18891.0
fd56ed9d5104e8e1c7d11dbb6a4b2305,18.0
2ed44c7d0ea59808e9c1e76dbd13c0c5,19.0
5af9a4081f6d8855b8c670cf72551924,117.0
510af13d7bf53159e59fe30e76adb20a,22.0
53d4af512c0deb82c3d3eb0e6ed55e58,23.0
19b5229ebf6dda3f549b5538592d211b,26.0
a3f7b2f00eb95d7264c10ec43d60ec41,27.0
6726aa843a33f424e2fdabc448eb0948,28.0
3d0fa22b5248a736f697baa315693e3b,13152.0
6bd278a37dafff640aaa8542199db451,30.0
7f008fd897f8a58fea3e07ec02df4360,32.0
2feff272d345d3dc311854763b83afea,33.0
7542225ff2a3cf63765d5f6ba3474345,34.0
f9cd146b3bc7884df97acf277a09bae7,35.0
9c3cf35489c2c6336d50c3bf443150a8,36.0
5cd4ea78c2dc879d43a1d8031adc89a2,6562.0
ca42a7223dd000e69adcd136f51e179e,38.0
c53fa2b83a420c8a507f5dcf323c3f9b,13154.0
3e652fc6dc32fc246ee2df64e374a4fc,40.0
d2f6ce6521b3464a6332f55ba9d53ac5,41.0
ead0e880cc7089c3d8a2e74616bbf933,42.0
8a93e9b0855586383ea7b6121b2d3f6e,43.0
66b4e5a7a9138e24d5683ec67ab39c8a,11453.0
2b08b7ea266a2e1c2d24a1fe6dfd29dc,45.0
be835e56964b246592361e522c0d1030,46.0
c804ac1d1d836e26acec75f0866d11da,47.0
7c24b3a46822b26777c4aa5981ecc666,48.0
993d3feb7413c2e8351634463c1ba081,14832.0
2a1f05ecb835f05fd2bc57abd21a9016,49.0
6e9aa7a5a6175e9b07268038692190e4,50.0
1dfb7cc88be25a8f7b435cd988859ebf,11503.0
f1d8ecff91b4294c2db92329bf6b4580,6777.0
456e3b8ce5e262e10e0f16f71c0fb881,52.0
05d8bb1e92fc7811d303292ad4f46187,53.0
81f6126f9858ba84b22e3bfedb4dca2e,6566.0
449c4e63e316aca2df36b63bd5fd4a8d,55.0
6b8b83aafde53569bcafb2acb7a29cf3,56.0
2aab56b23204f1e6ad47157d5720f6b8,11395.0
4b7ebb0c4b4fa6a824857286fa47c0fd,16612.0
d40313eac8aa5f34f05e010eb6e15ea1,9857.0
5de14312ea3b2ce8513358f5dfe1e6ed,59.0
28b5235f121a5f167611b3529cc52234,10228.0
9502565cdfb80f2d39bc1da5dbadff1c,62.0
2bbe4dcf49ab200b57031d78e23b735f,6568.0
3f70ad7e74f9f648717359e0803f0682,19408.0
b4fd04b1d5585e2d5dc361e249a4812a,14.0
d27591b5a98f8055394d67c4efc9237f,65.0
2a0e0bc8aedb522fdd7ee33350494654,10370.0
60f272027db2cfa97d639b653e430d4f,66.0
ea2b9ffd9fbde8373d5a02ebd76bd1bb,67.0
486047cde5fb83425cce9b9356516fc7,9859.0
e1d84eba22ec5139f37e7bcda4bd418d,68.0
4db9c9a028a7c50c221c16c0dc50fb19,69.0
75230b4a61e09c76b2faf8ee8851ce8b,7230.0
b5ad5cf2238ef299e73862d5b843f9e8,71.0
